secs, cad, hr, km, kph, nm,distance, alt,lat,lon, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
,,,,,,3.97061,37.7,48.434638,-123.34498,,-0.320174,,,,,,,,,,,
,,,,,,3.97361,37.6,48.434611,-123.344979,,-0.769847,,,,,,,,,,,
,,,,,,3.97539,37.6,48.434595,-123.344978,,-0.918151,,,,,,,,,,,
,,,,,,3.9764,37.6,48.434586,-123.34498,,-0.918151,,,,,,,,,,,
,,,,,,3.97709,37.6,48.43458,-123.344982,,-0.918151,,,,,,,,,,,
,,,,,,3.9787,37.6,48.434566,-123.344988,,-0.830872,,,,,,,,,,,
,,,,,,3.98865,37.5,48.434478,-123.345012,,-0.819158,,,,,,,,,,,
,,,,,,3.99782,37.4,48.434396,-123.345025,,-0.813978,,,,,,,,,,,
,,,,,,4.01295,37.3,48.43426,-123.345033,,-0.771734,,,,,,,,,,,
,,,,,,4.04144,37,48.434004,-123.345049,,-0.782118,,,,,,,,,,,
,,,,,,4.05746,36.9,48.43386,-123.345056,,-0.776411,,,,,,,,,,,
,,,,,,4.05786,36.9,48.433857,-123.345059,,-0.44343,,,,,,,,,,,
,,,,,,4.05786,36.9,48.433857,-123.345059,,-0.44343,,,,,,,,,,,
,,,,,,4.05786,36.9,48.433857,-123.345059,,-0.44343,,,,,,,,,,,
,,,,,,4.05836,36.9,48.433861,-123.345056,,-0.44343,,,,,,,,,,,
,,,,,,4.05836,36.9,48.433861,-123.345056,,-0.44343,,,,,,,,,,,
,,,,,,4.05836,36.9,48.433861,-123.345056,,-0.342867,,,,,,,,,,,
,,,,,,4.06508,36.8,48.433802,-123.345076,,-0.382508,,,,,,,,,,,
,,,,,,4.08009,36.8,48.43368,-123.345163,,-0.316432,,,,,,,,,,,
,,,,,,4.09459,37.1,48.433671,-123.345359,,-0.00416148,,,,,,,,,,,
,,,,,,4.11106,37.4,48.433678,-123.345582,,0.240402,,,,,,,,,,,
,,,,,,4.11607,37.5,48.433679,-123.34565,,0.439684,,,,,,,,,,,
,,,,,,4.12057,37.5,48.433679,-123.345711,,0.439684,,,,,,,,,,,
,,,,,,4.12523,37.6,48.433682,-123.345774,,0.654283,,,,,,,,,,,
,,,,,,4.13004,37.6,48.433685,-123.345839,,0.654283,,,,,,,,,,,
,,,,,,4.15341,37.7,48.4337,-123.346155,,0.697067,,,,,,,,,,,
,,,,,,4.17555,37.7,48.433699,-123.346455,,0.697067,,,,,,,,,,,
,,,,,,4.17706,37.6,48.433689,-123.346469,,0.186864,,,,,,,,,,,
,,,,,,4.1838,37.6,48.433684,-123.346378,,0.186864,,,,,,,,,,,
,,,,,,4.19657,37.7,48.43368,-123.346205,,0.058195,,,,,,,,,,,
,,,,,,4.2018,37.7,48.433673,-123.346135,,-0.123949,,,,,,,,,,,
,,,,,,4.20742,37.6,48.433664,-123.34606,,-0.501071,,,,,,,,,,,
,,,,,,4.21334,37.6,48.43366,-123.34598,,-0.501071,,,,,,,,,,,
,,,,,,4.21998,37.6,48.433658,-123.34589,,-0.71567,,,,,,,,,,,
,,,,,,4.23282,37.5,48.433655,-123.345716,,-0.793543,,,,,,,,,,,
,,,,,,4.275,36.7,48.433626,-123.345146,,-1.02601,,,,,,,,,,,
,,,,,,4.29563,36.3,48.433589,-123.344872,,-1.21991,,,,,,,,,,,
,,,,,,4.30176,36.2,48.433586,-123.344789,,-0.724058,,,,,,,,,,,
,,,,,,4.3292,35.7,48.433586,-123.344417,,-0.906242,,,,,,,,,,,
,,,,,,4.3902,35.2,48.433562,-123.343591,,-1.06651,,,,,,,,,,,
,,,,,,4.4188,35.1,48.433547,-123.343204,,-1.10148,,,,,,,,,,,
,,,,,,4.4261,35,48.433538,-123.343106,,-1.06064,,,,,,,,,,,
,,,,,,4.43323,34.9,48.433513,-123.343017,,-1.20089,,,,,,,,,,,
,,,,,,4.44048,34.8,48.433468,-123.342946,,-1.33893,,,,,,,,,,,
,,,,,,4.44751,34.7,48.433413,-123.342899,,-1.4033,,,,,,,,,,,
,,,,,,4.4548,34.6,48.433348,-123.342886,,-1.35077,,,,,,,,,,,
,,,,,,4.48488,34.3,48.433081,-123.342952,,-1.25659,,,,,,,,,,,
,,,,,,4.49281,34.2,48.433011,-123.342972,,-1.21975,,,,,,,,,,,
,,,,,,4.52237,33.7,48.432748,-123.343031,,-1.20668,,,,,,,,,,,
,,,,,,4.52927,33.6,48.432686,-123.343031,,-1.26976,,,,,,,,,,,
,,,,,,4.53618,33.5,48.432624,-123.343023,,-1.37932,,,,,,,,,,,
,,,,,,4.54332,33.3,48.43256,-123.343017,,-1.52281,,,,,,,,,,,
,,,,,,4.55043,33.2,48.432496,-123.343015,,-1.52305,,,,,,,,,,,
,,,,,,4.55744,33.1,48.432433,-123.343015,,-1.52776,,,,,,,,,,,
,,,,,,4.56445,33,48.43237,-123.34302,,-1.52807,,,,,,,,,,,
,,,,,,4.57103,32.9,48.432311,-123.343027,,-1.54287,,,,,,,,,,,
,,,,,,4.57728,32.8,48.432255,-123.343034,,-1.6032,,,,,,,,,,,
,,,,,,4.58321,32.8,48.432202,-123.343042,,-1.47697,,,,,,,,,,,
,,,,,,4.58888,32.7,48.432151,-123.343043,,-1.48418,,,,,,,,,,,
,,,,,,4.59378,32.6,48.432107,-123.343038,,-1.54295,,,,,,,,,,,
,,,,,,4.59865,32.6,48.432066,-123.343015,,-1.39842,,,,,,,,,,,
,,,,,,4.60411,32.5,48.432031,-123.342963,,-1.30091,,,,,,,,,,,
,,,,,,4.61028,32.5,48.432013,-123.342884,,-1.16042,,,,,,,,,,,
,,,,,,4.63265,32.5,48.432005,-123.342581,,-1.01767,,,,,,,,,,,
,,,,,,4.63951,32.4,48.432006,-123.342488,,-1.02085,,,,,,,,,,,
,,,,,,4.6671,32.1,48.432004,-123.342114,,-0.977607,,,,,,,,,,,
,,,,,,4.67457,32,48.432,-123.342013,,-0.951524,,,,,,,,,,,
,,,,,,4.68166,31.8,48.431997,-123.341917,,-1.23359,,,,,,,,,,,
,,,,,,4.68882,31.7,48.431994,-123.34182,,-1.19684,,,,,,,,,,,
,,,,,,4.69599,31.6,48.431991,-123.341723,,-1.13261,,,,,,,,,,,
