,distance
1689,20622.1
1690,20635.6
1691,20648.9
1692,20662.3
1693,20675.6
1694,20688.5
1695,20701.0
1696,20713.5
1697,20725.9
1698,20737.9
1699,20749.9
1700,20761.8
1701,20773.2
1702,20784.5
1703,20795.8
1704,20807.5
1705,20819.4
1706,20831.4
1707,20843.7
1708,20856.5
1709,20869.6
1710,20882.8
1711,20896.0
1712,20909.1
1713,20922.0
1714,20934.6
1715,20947.4
1716,20959.8
1717,20971.9
1718,20983.5
1719,20995.1
1720,21006.4
1721,21017.2
1722,21027.2
1723,21036.4
1724,21045.6
1725,21054.9
1726,21063.4
1727,21070.9
1728,21078.8
1729,21087.4
1730,21096.7
1731,21106.8
1732,21117.8
1733,21129.8
1734,21142.1
1735,21154.6
1736,21167.1
1737,21180.0
1738,21192.8
1739,21205.7
1740,21218.6
1741,21231.1
1742,21244.0
1743,21257.3
1744,21270.8
1745,21284.0
1746,21297.4
1747,21311.4
1748,21325.3
1749,21339.4
1750,21353.4
1751,21367.5
1752,21381.7
1753,21396.0
1754,21410.0
1755,21424.0
1756,21438.0
1757,21451.9
1758,21465.5
1759,21479.1
1760,21492.7
1761,21506.2
1762,21519.8
1763,21533.4
1764,21546.9
1765,21560.1
1766,21573.1
1767,21586.0
1768,21598.6
1769,21611.2
1770,21624.1
1771,21637.0
1772,21649.5
1773,21662.3
1774,21675.0
1775,21687.9
1776,21701.0
1777,21714.1
1778,21727.0
1779,21739.9
1780,21752.5
1781,21765.2
1782,21778.1
1783,21790.8
1784,21803.6
1785,21816.0
1786,21828.2
1787,21840.5
1788,21852.2
1789,21864.2
1790,21875.9
1791,21887.7
1792,21899.2
1793,21910.9
1794,21922.3
1795,21934.6
1796,21947.8
1797,21960.7
1798,21973.3
1799,21986.2
1800,21998.3
1801,22010.3
1802,22021.9
1803,22032.5
1804,22042.5
1805,22051.2
1806,22058.8
1807,22066.1
1808,22073.5
1809,22081.1
1810,22089.5
1811,22099.0
1812,22108.8
1813,22119.7
1814,22131.5
1815,22143.4
1816,22155.9
1817,22168.8
1818,22181.7
1819,22194.8
1820,22207.8
1821,22221.2
1822,22234.4
1823,22247.6
1824,22260.6
1825,22273.7
1826,22286.8
1827,22299.8
1828,22313.1
1829,22326.3
1830,22339.4
1831,22352.2
1832,22365.1
1833,22378.2
1834,22391.2
1835,22404.3
1836,22417.5
1837,22431.3
1838,22444.9
1839,22458.3
1840,22471.4
1841,22484.3
1842,22497.0
1843,22510.0
1844,22523.0
1845,22536.4
1846,22549.5
1847,22562.4
1848,22575.4
1849,22588.1
1850,22600.7
1851,22613.3
1852,22625.8
1853,22638.2
1854,22650.7
1855,22663.0
1856,22675.4
1857,22687.9
1858,22700.5
1859,22713.2
1860,22726.0
1861,22738.8
1862,22751.4
1863,22764.1
1864,22776.9
1865,22789.9
1866,22802.9
1867,22816.2
1868,22829.6
1869,22843.0
1870,22856.2
1871,22869.5
1872,22882.5
1873,22895.5
1874,22908.5
1875,22921.4
1876,22934.2
1877,22947.1
1878,22959.9
1879,22972.7
1880,22985.5
1881,22998.3
1882,23011.1
1883,23023.7
